car,(192, 0, 192)
wall,(64, 64, 64)
building,(128, 0, 0)
sky,(204, 229, 255)
lawn,(189, 206, 39)
tree,(0, 128, 0)
mall,(168, 163, 125)
road,(103, 130, 36)
motorcycle,(178, 137, 33)
reflection,(234, 51, 198)
grass,(205, 255, 204)
shadow,(198, 61, 1)
sidewalk,(255, 204, 204)
human,(255, 0, 0)
earth,(102, 51, 0)
people,(234, 94, 108)
billboard,(97, 191, 164)
mountain,(51, 25, 0)
plant,(128, 128, 0)
facade,(27, 150, 117)
highway,(235, 230, 94)
water,(57, 137, 229)
barn,(206, 239, 211)
supermarket,(195, 192, 209)
bush,(141, 235, 94)
house,(229, 92, 151)
sea,(102, 178, 255)
roof,(196, 232, 67)
window,(255, 177, 160)
vegetation,(235, 230, 94)
juniper,(226, 158, 180)
hedge,(252, 63, 132)
fence,(156, 146, 145)
garage,(53, 5, 44)
rock,(153, 255, 255)
container,(178, 146, 252)
swimming pool,(198, 43, 25)
driveway,(98, 17, 191)
railing,(104, 196, 92)
pipeline,(68, 199, 246)
pipes,(163, 31, 29)
solar,(205, 168, 237)
column,(41, 193, 232)
sign,(255, 178, 102)
spruce,(144, 145, 110)
fir,(242, 151, 82)
sand,(81, 1, 9)
playground,(122, 55, 98)
skyscraper,(0, 255, 230)
garden,(144, 147, 245)
beach,(75, 33, 165)
grandstand,(33, 36, 127)
path,(53, 36, 28)
stairs,(152, 242, 79)
runway,(91, 156, 67)
warehouse,(14, 3, 79)
backhoe,(247, 236, 39)
crop,(136, 134, 244)
factory,(158, 154, 155)
stairway,(165, 122, 198)
river,(178, 143, 183)
bridge,(0, 22, 150)
hospital,(204, 204, 0)
windmill,(112, 229, 170)
market,(177, 169, 247)
pond,(219, 35, 185)
stream,(237, 182, 54)
construction,(130, 32, 15)
hill,(0, 102, 102)
bench,(255, 145, 20)
landfill,(26, 77, 91)
cactus,(242, 53, 135)
palm,(0, 81, 74)
clearcut,(20, 8, 35)
park,(188, 40, 114)
soccerball field,(0, 18, 135)
boat,(9, 99, 109)
lot,(62, 41, 155)
square,(59, 155, 162)
hovel,(164, 161, 243)
bus,(51, 0, 51)
roundabout,(96, 234, 119)
light,(166, 239, 47)
truck,(71, 247, 22)
tower,(201, 246, 210)
awning,(134, 33, 188)
streetlight,(188, 41, 137)
forest,(35, 58, 66)
ar-marker,(255, 0, 0)
plane,(208, 211, 21)
waves,(119, 41, 0)
lamp,(34, 91, 127)
post,(12, 249, 162)
land,(204, 255, 229)
obstacle,(192, 0, 0)
bald-tree,(61, 6, 150)
tractor,(247, 140, 172)
farm,(200, 208, 100)
silo,(150, 57, 85)
brook,(241, 246, 205)
door,(168, 102, 126)
van,(76, 130, 32)
ship,(242, 203, 48)
fountain,(135, 178, 162)
railroad,(168, 92, 47)
canopy,(247, 140, 192)
pole,(237, 168, 190)
antenna,(133, 167, 170)
fire,(112, 161, 191)
statue,(192, 239, 47)
track,(68, 206, 125)
stadium,(82, 11, 158)
waterfall,(13, 155, 91)
tent,(94, 58, 9)
clouds,(255, 204, 229)
structure,(192, 192, 192)
hotel,(14, 178, 126)
highway,(242, 138, 19)
airport,(14, 45, 76)
cow,(240, 190, 139)
dog,(188, 185, 13)
storage tank,(249, 126, 54)
baseball diamond,(239, 239, 239)
tennis court,(26, 117, 66)
gravel,(182, 84, 169)
animal,(192, 0, 128)
bicycle,(122, 95, 13)
lake,(219, 177, 210)
basketball court,(198, 188, 197)
meadow,(102, 120, 213)
vehicle,(192, 0, 192)
flag,(255, 153, 21)
street,(128, 64, 128)
walkway,(153, 146, 139)
helicopter,(46, 110, 99)
man,(192, 28, 28)
woman,(192, 28, 28)
person,(192, 28, 28)
paved-area,(215, 119, 135)
harbor,(219, 119, 234)
desert,(247, 185, 195)
dirt,(36, 55, 94)
woodland,(196, 161, 79)
bike,(244, 127, 73)
drone,(177, 60, 232)
background,(0, 0, 0)
unlabeled,(0, 0, 0)
conflicting,(180, 201, 165)
cell tower,(12, 249, 162)
other,(0, 0, 0)
